Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);In account?;Searches: Nov 2023;Searches: Dec 2023;Searches: Jan 2024;Searches: Feb 2024;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024
indemnización por despido;12100;0%;-18%;Medio;46;$48,52;214,42;;12100;14800;9900;12100;12100;14800;18100;12100;9900;12100;9900;12100;9900
estudio juridico;12100;0%;0%;Bajo;22;$130,04;510,74;;14800;12100;14800;18100;18100;18100;18100;14800;14800;18100;14800;14800;14800
calculadora de indemnización;9900;0%;0%;Medio;40;$40,94;142,95;Y;9900;9900;12100;12100;14800;12100;12100;9900;9900;9900;9900;9900;9900
despido laboral;8100;-55%;6862%;Bajo;31;$58,05;266,44;;260;320;320;390;720;4400;33100;5400;5400;49500;40500;14800;18100
calcular indemnización por despido;8100;0%;-33%;Medio;43;$55,66;188,9;;8100;6600;6600;8100;8100;8100;8100;6600;6600;6600;5400;5400;5400
derecho laboralista;6600;-56%;-19%;Medio;34;$65,68;330,07;;5400;3600;1900;2400;5400;8100;12100;27100;5400;12100;9900;5400;4400
calcular indemnización;6600;-19%;-19%;Medio;37;$48,51;115,44;;8100;6600;8100;8100;9900;9900;8100;6600;6600;8100;8100;8100;6600
sintomas de un disco herniado;5400;-18%;0%;Bajo;17;$3,96;40,84;;5400;4400;4400;4400;4400;4400;4400;4400;5400;6600;6600;6600;5400
síntomas de hernia discal;5400;-18%;0%;Bajo;17;$3,96;40,84;;5400;4400;4400;4400;4400;4400;4400;4400;5400;6600;6600;6600;5400
sintomas de discos herniados;5400;-18%;0%;Bajo;17;$3,96;40,84;;5400;4400;4400;4400;4400;4400;4400;4400;5400;6600;6600;6600;5400
abogadoslaborales;5400;0%;-18%;Medio;56;$347,93;1231,19;;6600;5400;6600;6600;6600;6600;6600;5400;5400;5400;5400;5400;5400
abogados laborales;5400;0%;-18%;Medio;56;$347,93;1231,19;;6600;5400;6600;6600;6600;6600;6600;5400;5400;5400;5400;5400;5400
