Keyword MarinPistacchia;;;;;;;
1 de julio de 2023 - 30 de junio de 2024;;;;;;;
;;;;;;;
Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range)
hernias discales;50000;0%;0%;Bajo;12;15.54;41.46
hernias de disco;50000;0%;0%;Bajo;12;15.54;41.46
discos herniados;50000;0%;0%;Bajo;12;15.54;41.46
disco de hernia;50000;0%;0%;Bajo;12;15.54;41.46
hernia de discal;50000;0%;0%;Bajo;12;15.54;41.46
hernia de disco intervertebral;50000;0%;0%;Bajo;12;15.54;41.46
calculadora de indemnización;50000;-90%;0%;Bajo;29;28.57;567.61
hernia discal lumbar;5000;900%;0%;Bajo;16;13.98;47.85
fractura de tibi;5000;900%;0%;Bajo;2;41.04;41.60
hernia discal lumbosacra;5000;900%;0%;Bajo;16;13.98;47.85
hernia en disco lumbar;5000;900%;0%;Bajo;16;13.98;47.85
hernia en el disco lumbar;5000;900%;0%;Bajo;16;13.98;47.85
hernia discal;5000;0%;0%;Bajo;14;11.11;41.45
tabla de indemnización por accidente de trabajo;5000;0%;0%;Medio;37;36.26;322.46
hernia lumbar;5000;0%;0%;Bajo;12;15.32;53.06
simulador indemnización por accidente laboral;5000;0%;0%;Medio;42;48.34;329.39
calcular indemnización por despido;5000;0%;0%;Bajo;29;33.94;531.43
hernia cervical;5000;0%;0%;Bajo;15;10.94;41.58
calcular indemnización;5000;0%;0%;Bajo;27;31.49;676.05
hernia de disco lumbar;5000;0%;0%;Bajo;19;12.23;41.90
hernia de disco tratamiento;5000;0%;0%;Bajo;25;12.66;46.86
operacion de hernia discal;5000;0%;0%;Bajo;16;22.84;299.91
hernia discal síntomas graves;5000;0%;0%;Bajo;18;11.35;33.35
calculadora de indemnización por despido;5000;0%;0%;Bajo;28;30.08;520.39
calcular indemnización art;5000;0%;0%;Medio;41;44.20;307.81
síntomas de hernia discal;5000;0%;0%;Bajo;11;8.59;41.12
indemnización por despido calculadora;5000;0%;900%;Bajo;32;32.47;571.75
calculadora de indemnización art;5000;0%;0%;Medio;42;40.56;322.12
hernia de disco cervical;5000;0%;0%;Bajo;19;11.01;41.58
calculadora de despido;5000;0%;900%;Bajo;29;28.94;595.40
tabla de incapacidades laborales;5000;0%;0%;Bajo;25;29.67;89.60
in itinere accidente;5000;0%;0%;Bajo;17;67.08;342.08
calculadora ripte;5000;0%;900%;Bajo;19;12.65;37.52
dedo de mano;5000;0%;0%;Bajo;0;9.35;93.48
fractura de tibia peroné;5000;0%;0%;Bajo;3;41.02;41.62
fracturas de peroné;5000;0%;0%;Bajo;3;41.07;41.68
hernia al disco;5000;0%;0%;Bajo;14;11.11;41.45
hernia en disco;5000;0%;0%;Bajo;14;11.11;41.45
hernia en el disco;5000;0%;0%;Bajo;14;11.11;41.45
hernia en el lumbar;5000;0%;0%;Bajo;12;15.32;53.06
hernia en un disco;5000;0%;0%;Bajo;14;11.11;41.45
herniacion discal;5000;0%;0%;Bajo;14;11.11;41.45
ley de riesgo de trabajo;5000;0%;0%;Bajo;3;27.35;79.19
quebradura de tibia y perone;5000;0%;0%;Bajo;3;41.02;41.62
sintomas de discos herniados;5000;0%;0%;Bajo;11;8.59;41.12
sintomas de un disco herniado;5000;0%;0%;Bajo;11;8.59;41.12
calculadora art;5000;-90%;-90%;Bajo;33;28.19;310.66
conviene hacer juicio ala art;5000;-90%;0%;Medio;40;70.16;340.57
hernia lumbar tratamiento;500;900%;0%;Bajo;25;13.55;67.39
art seguro de trabajo;500;900%;0%;Medio;50;122.32;657.68
ejercicios para hernia discal;500;900%;0%;Bajo;10;12.05;22.84
calcular ripte online;500;900%;900%;Bajo;23;13.94;36.76
hernia de disco resonancia;500;900%;0%;Bajo;6;44.38;127.55
hernias de disco cervical;500;900%;0%;Bajo;21;10.83;41.28
licencia por accidente de trabajo;500;900%;0%;Bajo;26;64.88;343.30
accidente en el trabajo;500;0%;0%;Bajo;20;54.64;288.88
calcular indemnizacion accidente;500;0%;0%;Bajo;31;44.42;291.49
indemnización por accidente laboral;500;0%;0%;Medio;44;36.38;294.66
hernia discal tratamiento;500;0%;0%;Bajo;16;13.82;70.20
hernia en la columna;500;0%;0%;Bajo;13;12.15;41.58
abogados art;500;0%;0%;Medio;49;284.00;1281.10
tratamiento hernia discal;500;0%;0%;Bajo;16;13.82;70.20
hernia discal síntomas;500;0%;0%;Bajo;10;10.04;41.29
tratamiento para hernia discal;500;0%;0%;Bajo;8;14.41;57.44
calcular indemnización por accidente laboral;500;0%;-90%;Medio;41;43.55;259.45
hernia discal cervical;500;0%;0%;Bajo;17;11.30;41.40
cirugia de hernia discal;500;0%;0%;Bajo;28;28.41;317.82
hernia cervical tratamiento;500;0%;0%;Bajo;25;12.39;47.88
calculadora de indemnización por accidente;500;0%;900%;Medio;39;36.28;212.75
cirugia hernia discal;500;0%;0%;Bajo;21;26.56;298.73
ejemplo de indemnización por accidente de trabajo;500;0%;0%;Bajo;30;54.51;341.89
art accidente de trabajo;500;0%;0%;Medio;41;65.71;312.60
hernia cervical sintomas;500;0%;0%;Bajo;19;10.08;41.58
indemnizacion art;500;0%;0%;Medio;43;36.12;224.34
plazo para denunciar accidente de trabajo en art;500;0%;0%;Medio;41;67.38;339.45
accidente laboral art;500;0%;0%;Medio;44;66.66;311.84
hernia discal l5 s1;500;0%;0%;Bajo;11;13.21;41.75
calculadora indemnización por fallecimiento;500;0%;0%;Bajo;21;17.64;660.19
hernia en la espalda;500;0%;0%;Bajo;8;15.61;41.46
hernia lumbar síntomas;500;0%;0%;Bajo;15;9.35;41.46
calculadora de indemnización por accidente de tránsito;500;0%;0%;Medio;37;57.28;257.65
hernia de disco lumbar tratamiento;500;0%;0%;Bajo;26;12.00;56.09
hernia en la espalda baja;500;0%;0%;Bajo;17;12.19;41.44
hernia en la columna síntomas;500;0%;0%;Bajo;15;10.01;24.87
indemnización por art;500;0%;0%;Medio;49;36.27;322.46
accidente itinere;500;0%;0%;Bajo;18;66.70;343.05
juicio a la art paso a paso;500;0%;0%;Medio;44;64.76;192.16
hernia discal sintomas;500;0%;0%;Bajo;10;10.04;41.29
calculadora de art;500;0%;0%;Medio;36;33.05;338.60
hernia cervical síntomas graves;500;0%;0%;Bajo;22;10.01;30.13
hernia l4 l5;500;0%;0%;Bajo;13;18.70;41.60
hernia l5 s1;500;0%;0%;Bajo;11;14.22;45.33
hernia disco;500;0%;0%;Bajo;11;15.04;47.47
dolor de hernia discal;500;0%;0%;Bajo;20;13.96;53.40
tratamiento para hernia de disco;500;0%;0%;Bajo;30;13.34;50.81
cálculo indemnización por enfermedad profesional;500;0%;0%;Medio;52;66.66;444.42
calculadora accidente de trabajo;500;0%;0%;Bajo;31;38.39;280.95
calculadora de incapacidad art;500;0%;0%;Medio;38;29.34;116.49
enfermedad profesional art;500;0%;0%;Medio;40;36.47;174.75
operacion de hernia discal riesgos;500;0%;0%;Bajo;4;41.12;327.16
indemnización por lumbalgia art;500;0%;0%;Medio;45;49.87;211.74
hernia espalda;500;0%;0%;Bajo;8;15.61;41.46
calculadora de indemnización por accidente laboral;500;0%;0%;Medio;38;37.98;278.17
calculadora por despido;500;0%;0%;Bajo;30;31.43;569.81
calculo de indemnizacion por accidente de trabajo;500;0%;0%;Medio;36;36.38;217.11
operacion hernia discal l5 s1;500;0%;0%;Bajo;7;30.43;280.43
hernia columna;500;0%;0%;Bajo;13;12.15;41.58
hernia de disco l4 l5;500;0%;0%;Bajo;14;18.70;42.40
calculadora accidente laboral;500;0%;900%;Bajo;31;37.44;310.80
operacion hernia cervical;500;0%;0%;Bajo;7;16.79;152.53
si tengo hernia de disco puedo trabajar;500;0%;0%;Bajo;10;28.43;41.71
hernia de disco l5 s1;500;0%;0%;Bajo;17;18.70;41.75
indemnización por hipoacusia laboral;500;0%;0%;Bajo;30;35.91;200.44
indemnización por esguince de tobillo argentina;500;0%;-90%;Medio;53;52.15;325.50
calculadora de incapacidad laboral;500;0%;0%;Bajo;29;29.94;226.13
calcular porcentaje de incapacidad;500;0%;0%;Medio;37;29.75;131.40
hernia en el cuello;500;0%;0%;Bajo;7;11.58;41.58
operación de tibia y peroné con placa y tornillos;500;0%;0%;Bajo;9;13.69;103.21
accidente in itinere argentina;500;0%;0%;Medio;35;67.08;342.08
accidente laboral argentina;500;0%;0%;Bajo;31;67.27;250.95
accidente valor de cada dedo de la mano;500;0%;-90%;Bajo;27;51.10;243.88
accidentes de trabajo ley;500;0%;0%;Bajo;15;48.29;345.86
alta médica laboral cuando empiezo a trabajar;500;0%;-90%;Bajo;10;28.04;332.72
amputar un dedo;500;0%;0%;Bajo;1;;
art como funciona;500;0%;0%;Medio;45;48.52;166.81
art laboral;500;0%;0%;Medio;41;80.46;335.69
art paga honorarios abogado;500;0%;0%;Medio;37;72.52;312.25
art porcentaje de incapacidad;500;0%;-90%;Medio;42;35.91;153.29
art que cubre;500;0%;0%;Bajo;32;32.10;194.76
aseguradora de riesgo de trabajo art;500;0%;0%;Medio;35;96.05;616.21
baremo art;500;0%;0%;Bajo;9;23.43;70.42
baremo de incapacidades laborales;500;0%;0%;Bajo;20;34.02;68.94
baremo laboral;500;0%;0%;Bajo;4;17.19;72.76
baremo tabla de incapacidades;500;0%;0%;Bajo;12;18.56;124.77
calculadora art indemnizacion;500;0%;0%;Medio;41;67.34;520.39
calculadora de indemnizacion laboral;500;0%;0%;Bajo;26;22.76;285.68
calculadora de indemnización argentina;500;0%;0%;Medio;37;36.45;310.99
calculadora de indemnización por art;500;0%;0%;Medio;43;53.64;374.05
calculadora ibm con ripte;500;0%;0%;Bajo;28;28.90;516.01
calculadora incapacidad art;500;0%;0%;Medio;34;32.89;154.64
calculadora incapacidad laboral;500;0%;0%;Bajo;30;34.56;89.54
calculadora indemnizacion argentina;500;0%;900%;Medio;35;35.58;336.51
calculadora indemnizacion art con ripte;500;0%;0%;Medio;38;41.37;406.30
calculadora indemnización por despido argentina;500;0%;0%;Medio;38;41.00;332.40
calcular indemnizacion por enfermedad profesional;500;0%;0%;Medio;52;66.66;444.42
calculo ibm;500;0%;0%;Bajo;10;9.65;261.73
calculo indemnizacion art con ripte;500;0%;0%;Medio;38;41.37;406.30
causa de la hernia discal;500;0%;0%;Bajo;11;9.99;41.49
certificado de discapacidad por hernia discal;500;0%;900%;Bajo;8;26.55;100.26
cirugia de fractura de tibia;500;0%;0%;Bajo;4;15.79;51.98
cirugia de tobillo y perone;500;0%;0%;Bajo;3;;
cirugia hernia cervical;500;0%;0%;Bajo;7;16.79;152.53
cirugía de peroné con placa y tornillos;500;0%;900%;Bajo;7;23.98;114.84
columna discos;500;0%;0%;Bajo;2;;
columna hernia de disco;500;0%;0%;Bajo;16;15.94;41.75
columna l4 l5;500;0%;0%;Bajo;4;10.04;91.61
cuál es la tibia y el peroné;500;0%;0%;Bajo;0;;
denuncia art;500;0%;0%;Bajo;30;42.77;243.34
denuncia art por enfermedad profesional;500;0%;-90%;Medio;52;72.71;343.30
determinación de incapacidad srt;500;0%;0%;Bajo;32;36.27;139.52
dictamen de comisión médica por incapacidad laboral;500;0%;0%;Bajo;27;26.50;94.88
dictamen médico srt;500;0%;900%;Bajo;2;83.83;513.92
diferencia entre alta médica y alta laboral;500;0%;0%;Bajo;0;;
disco de columna;500;0%;0%;Bajo;1;7.91;65.43
disco herniado tratamiento;500;0%;0%;Bajo;16;13.82;70.20
disco l5s1;500;0%;0%;Bajo;3;11.17;18.70
discos herniados tratamiento;500;0%;0%;Bajo;16;13.82;70.20
divergencia en la determinación de la incapacidad;500;0%;0%;Bajo;13;25.38;82.66
divergencia en la determinación de la incapacidad srt;500;0%;0%;Medio;34;59.15;148.23
dolor de discos herniados;500;0%;0%;Bajo;20;13.96;53.40
ejercicio hernia de disco;500;0%;0%;Bajo;11;12.86;42.87
ejercicio para hernia de disco;500;0%;0%;Bajo;12;12.09;24.06
ejercicios para hernia de disco lumbar;500;0%;0%;Bajo;15;11.90;40.19
ejercicios para hernia lumbar l4 l5;500;0%;900%;Bajo;15;11.87;40.19
firma en disconformidad art;500;0%;0%;Bajo;28;65.43;207.23
fisura de perone;500;0%;0%;Bajo;2;41.04;41.71
formula de incapacidad laboral;500;0%;0%;Bajo;29;29.94;226.13
fractura de perone operacion;500;0%;0%;Bajo;2;41.12;52.12
fractura de perone sin desplazamiento;500;0%;0%;Bajo;8;41.04;41.61
fractura de tibia cirugia;500;0%;0%;Bajo;4;15.79;51.98
fractura de tibia recuperacion;500;0%;0%;Bajo;2;;
fractura de tibia y perone operacion;500;0%;0%;Bajo;2;41.02;51.83
fractura en tibia;500;0%;0%;Bajo;2;40.68;41.75
fractura perone y tibia;500;0%;0%;Bajo;3;40.99;41.61
fracturas del perone;500;0%;0%;Bajo;3;41.04;41.58
fracturas perone;500;0%;0%;Bajo;3;41.14;41.62
hernia cintura;500;0%;0%;Bajo;8;11.96;41.62
hernia cuello;500;0%;0%;Bajo;7;11.58;41.58
hernia de cervical sintomas;500;0%;0%;Bajo;18;9.34;25.11
hernia de disco causas;500;0%;0%;Bajo;11;9.99;41.49
hernia de disco cervical síntomas;500;0%;0%;Bajo;14;10.03;41.28
hernia de disco como curar;500;0%;0%;Bajo;27;20.78;61.64
hernia de disco como se cura;500;0%;0%;Bajo;17;15.91;59.21
hernia de disco como se produce;500;0%;0%;Bajo;10;9.01;31.31
hernia de disco dorsal;500;0%;0%;Bajo;13;10.16;41.75
hernia de disco ejercicios;500;0%;0%;Bajo;11;12.86;42.87
hernia de disco l4 y l5;500;0%;0%;Bajo;14;18.70;42.40
hernia de disco lumbar operacion;500;0%;-90%;Bajo;22;26.85;331.36
