Fecha,Páginas afectadas
2026-05-17,1
2026-05-18,1
2026-05-19,1
2026-05-20,1
2026-05-21,1
2026-05-22,1
2026-05-23,1
2026-05-24,1
2026-05-25,1
2026-05-26,1
2026-05-27,1
2026-05-28,1
2026-05-29,1
2026-05-30,1
2026-05-31,1
2026-06-01,5
2026-06-02,5
2026-06-03,5
2026-06-04,5
2026-06-05,14
2026-06-06,14
2026-06-07,14
2026-06-08,18
2026-06-09,18
2026-06-10,18
2026-06-11,18
2026-06-12,79
2026-06-13,79
2026-06-14,79
2026-06-15,79
2026-06-16,79
2026-06-17,79
2026-06-18,79
2026-06-19,79
2026-06-20,79
2026-06-21,79
2026-06-22,79
2026-06-23,79
2026-06-24,79
2026-06-25,79
2026-06-26,79
2026-06-27,79
2026-06-28,79
2026-06-29,79
