Page URL,Structured data,Field,Issue description,Discovered
https://derechosart.com.ar/calculadora-accidentes,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/calculadora-accidentes,Software App,offers,A value for the offers field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/calculadora-despidos,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/calculadora-despidos,Software App,offers,A value for the offers field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/quienes-somos,Local Business,address,A value for the address field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/quienes-somos,Local Business,address,A value for the address field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/quienes-somos,Local Business,address,A value for the address field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/quienes-somos,Local Business,address,A value for the address field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/quienes-somos,Local Business,address,A value for the address field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/quienes-somos,Local Business,address,A value for the address field is required.,18 Aug 2026 (14:45 UTC)
https://derechosart.com.ar/quienes-somos,Local Business,address,A value for the address field is required.,18 Aug 2026 (14:45 UTC)
